,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","record","while","repeat","until","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor","record_type","field_declarations",
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,S188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,190,191,192,193,,,
97,,,,S92,,,,S93,S94,S95,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,200,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,S204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,203,,,,,,,,,,,
100,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,205,168,169,170,171,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R71,,,S207,S208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
